IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14536, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9283, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 25798, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15032, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14780, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7277, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14532, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 28808, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4514, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 12026, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7269, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 13286, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 11790, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7521, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9269, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8768, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 22554, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1503, kbits/s: 160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5771, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 6019, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3012, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13285, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8773, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5777, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2767, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 24803, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8777, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17292, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8280, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2759, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2770, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7521, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3014, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4265, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 21310, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1505, kbits/s: 160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8773, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10278, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7774, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 18295, kbits/s: 8
